Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_Of_Ownership,Industry,Sector,Revenue,Competitors
Data Scientist,Employer Provided Salary:$80K - $186K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",-1,Dealsrevolution,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$75K - $120K,"Has it ever occurred to you that as the Internet shifts virtually every business model online, one key element of human behavior is lost - reading body language.
At ForMotiv, we solve this problem using a combination of AI, ML, and predictive behavioral analytics to analyze behavioral cues collected while users engage with web applications. Using this proprietary dataset we’re able to classify and predict end-user intent. ForMotiv is helping leading financial service companies to improve online experiences as well as reduce risk and fraud. ForMotiv is a real-time behavioral intelligence tool that helps companies fill in the missing link when it comes to their customer data - their digital body language.
Job Description
A rare opportunity to get in at the ground floor of a rapidly growing startup. We are looking for a Data Scientist to help make sense of the billions of data points ForMotiv collects on behalf of its clients. Your focus will be on doing statistical analysis and building prediction systems that are directly integrated with our product and clients. You will work directly with the management team to drive new customer revenue, expand offerings to existing clients, and play an integral role in building ForMotiv’s data science team.",-1,ForMotiv,Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,Employer Provided Salary:$38 - $43 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Job Type: Full-time
Salary: $40.00 - $45.00 per hour
Schedule:",4.1,Software Merchant Inc.,Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,-1,"Do you love analyzing data to uncover insights and trends? Can you understand data and trends to reveal meaningful business intelligence? Are you intrigued by learning market information? If so, then a career as a Data Scientist for Life Science Connect may be for you.
Life Science Connect is a subsidiary of VertMarkets, a B2B media company devoted to connecting the world’s business and community leaders. Life Science Connect fosters collaborations in the pharmaceutical, biotech, and medical device industries through websites, publications, events, and training.
In the role of Life Science Connect Data Scientist, you'll be required to take a data driven approach to understanding the needs of our clients and apply strategies to evaluate their marketing and content promotion campaign effectiveness. The Data Scientist will also be responsible for applying these insights, as well as market data they have discovered, to make recommendations on ways to maximize a client’s marketing and content promotion campaign results. The ideal candidate should have strong analytical skills, excellent time-management and organization, a problem solving mindset, and the ability to clearly communicate information in simple yet interesting ways.
Responsibilities:",4.1,VertMarkets,"Cranberry Twp, PA",-1,51 to 200 Employees,1980,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1
Data Scientist,Employer Provided Salary:$80K - $100K,"Data Scientist
Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.
The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.2,"Continental Finance Company, LLC","Wilmington, DE",-1,51 to 200 Employees,2005,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Data Scientist - Defense & Intelligence,-1,"DATA SCIENTIST – Defense & Intelligence
Home Office is: Arlington, VA
Elder Research Inc. is a Data Science consulting firm specialized in providing analytic solutions to clients in Commercial and Government industries. Providing analytic solutions to hundreds of companies across numerous industries, our team enjoys a great variety in the type of work they do and exposure to a wide range of techniques and tools
We are trusted advisors to our clients, building lasting relationships and partnering as preferred analytics providers. We use a variety of programming languages and tools to create analytic solutions, often fitting within our clients’ environment and needs.
Summary of Position:",4.2,Elder Research Inc,"Arlington, VA",-1,51 to 200 Employees,1995,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1
Data Scientist,Employer Provided Salary:$120K - $180K,"Requires a minimum US Top Security Clearance with polygraph.
AUGR LLC is seeking a data scientist to support the Office of Director of National Intelligence. The supported office is the DNI's principal advising office on matters pertaining to systems analyses, cost analyses and program evaluation and is responsible for framing major resource decisions and managing the process by which the DNI determines the National Intelligence Program (NIP). As part of these efforts, ODNI conducts studies and analyses in support of IC programmatic and resourcing decisions. To support successful execution for these efforts, ODNI requires statistical data and analytic support to advise and assist on-going efforts.
The qualified candidate will be responsible for collecting and analyzing large sets of structured and unstructured data from disparate sources. Additional responsibilities include: developing or integrating analytic capabilities and tools, advising on analytic approaches and gaps in capabilities, cleaning and validating data to ensure accuracy, completeness, and uniformity, analyzing data to identify patterns and trends, devising and applying models and algorithms to mine the stores of big data, interpreting data to discover solutions and opportunities. The successful candidate will have strong client engagement skills.",-1,AUGR LLC,"Bethesda, MD",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$250K - $450K,"Our Mission
We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution. We're out to change behavior and promote mindful living.

Job Requirements
You must have all the skills and experiences associated with one of the options below. These options change over time and reflect the current needs of the team.",4.7,Blue Owl,"San Francisco, CA",-1,51 to 200 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Data Scientist,-1,"Responsibilities:
Utilizing code (Python, Pyspark, SQL (Big Query)) for analyzing data and building statistical and machine learning models and algorithms.
Improving upon existing machine learning methodologies by developing new data sources, developing and testing model enhancements, running computational experiments, and fine-tuning model parameters for new models
Advise client on optimal allocation of content budget by using machine learning techniques for observational causal interference
Build statistical models to develop an accurate valuation of content.
Qualifications:",-1,Storm Global Analytics,"New York, NY",-1,1 to 50 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Data Scientist,Employer Provided Salary:$113K - $225K,"Summary
Need a Data Scientist who has hands on experience building and enhancing media mix models to connect the impact of marketing drivers and business short-term and long-term outcomes. Should have prior experience with MMM, measurement, A/B testing, marketing strategy &analytics. Proficient coding skills (Python/SQL) and database knowledge
Roles & Responsibilities
Build and enhance media mix models to connectthe impact of marketing drivers and business short-term and long-term outcomes
Develop optimization and simulation algorithmsto guide the marketing investment and allocation recommendations tostakeholders",5.0,"Practical Solutions, Inc.","San Mateo, CA",-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1
Data Scientist,-1,"JOB DESCRIPTION
The Internal Analytics Data Scientist (DS) is an experienced analytics professional with strong organizational and interpersonal skills to provide solution-oriented ideas and strategic contributions to an expanding and innovative audit function. The DS will be responsible for executing a sustainable, integrated, and adaptable analytically-driven approach to the monitoring of financial, operational and compliance-related risks. S/he will responsibility of; (i) identifying and wrangling the data necessary to support continuous and ad hoc monitoring projects; (ii) developing and executing on work programs designed to identify potential risk across a variety of activities and data-sets (iii) exploring the use of existing or emerging technologies to support and enhance the teams activities; (iv) partnering with key stakeholders to build the framework for a largely new capability, including reporting and communications strategies, governance and escalation guidelines, etc. In addition, this role will have responsibilities of analytics development in support of Internal Audit’s (IA) annual plan while leveraging IA’s methodology, Japanese – Sarbanes-Oxley (J-SOX) compliance requirements, and other assurance or advisory activities as identified by IA management.",3.5,Bridgestone Americas,"East Nashville, TN",-1,10000+ Employees,1900,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
Senior Data Scientist (Remote-friendly),-1,"At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.
We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.
What You’ll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.",4.3,Noom Inc.,Remote,-1,1001 to 5000 Employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1
Data Scientist,-1,"In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebook's Data Center organization. As we plan to grow our Data Center organization, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook's global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs.
Leverage data and business principles to create and drive large scale FB Data Center programs.
Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook’s data centers.",4.4,Facebook,"Fremont, CA",-1,10000+ Employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),-1
Data Scientist,-1,"At HP, we are seeking to engineer experiences that amaze, to create technology that makes life better for everyone, everywhere. This motivates us — inspires us — to do what we do. To make what we make. To invent, and to reinvent.
HP is the global leader in print solutions, and we are seeking a creative, collaborative, innovative, fun individual to join our print supplies team to invent machine learning models and algorithms that will deliver new customer value and contribute to our exciting digital transformation.
The Role
Our team engineers solutions for our LaserJet toner cartridges by combining hardware design, computer science, and cloud software for high-quality, precision output, page after page. As our data scientist, you will make a direct impact to our business by creating smart cloud solutions and machine learning models. You will be working closely with our mechanical engineers, software developers, data engineers, marketing professionals, and partners across the globe in a fun, supportive environment. The models you create will make an immediate impact to millions of customers worldwide while your manager and teammates support your growth and development.",4.1,HP,"Boise, ID",-1,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"Description
Job Description:
The data science candidate is responsible for the collecting, cleaning and munging of data in ways to determine the value of the data and extract that value for discovery and decision support. Our data scientist are part detectives and business analysis. The detective work comes in handy when parsing, clustering, and stratifying the data to find and amplify signals in the data. The business analysis is used to determine what signals they should look for based their understanding of the client’s business goals for collecting the data.
Primary Responsibilities
The candidate will be responsible for handling the extract, transform, and load (ETL) for multi-domain data. They will be applying various machine learning algorithms to the multi-domain data to measure the performance of the algorithm and the suitability of the data. The candidates first set of algorithms will be for homomorphic encryption (HE). With those algorithms, the candidate will be experimenting with ways to increase the speed of homomorphic encryptions by orders of magnitude. The candidate must be a self-starter and honestly self-assessing to know when to seek assistance. Also, the position requires a candidate who can communicate well and able to present their work to internal and external groups.
Ineligible
Yes, 50%
None
Yes, 10% of the time
40
Day
College
Data Scientist",3.8,Leidos,"Arlington, VA",-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Data Scientist,Employer Provided Salary:$70K - $173K,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.

Full time
Starting salary: $70,150 - $172,500*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible

About the Job

As a Data Scientist for CIA, you will organize and interpret data to inform U.S. decision-makers, drive successful operations, and shape CIA technology and resource investments. Through CIA’s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. You will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the Intelligence Community.

Who You’ll Work With

At the Central Intelligence Agency (CIA), we recognize our Nation’s strength comes from the diversity of its people. People from a broad range of backgrounds and viewpoints work at CIA, and our diverse teams are the reason we can keep our country safe.

Read more about diversity and inclusion

What You’ll Get

Our benefits support every aspect of a working professional’s life, including health and wellness, time off, family, finances, and continuing education. Our programs include highly sought-after government health benefits, flexible schedules, sick leave, and childcare. In some cases, we also offer sign-on incentives and cover moving expenses if you relocate.

As a CIA employee, you’ll also get the satisfaction of knowing your work is part of something bigger than yourself. Our work is driven by one mission: to keep our Nation safe. Every day is an opportunity to enhance U.S. national security.

Learn more about working at CIA

Minimum Qualifications
Bachelor’s degree preferably in a quantitative science, engineering, or social sciences field.
At least a 3.0 GPA on a 4-point scale
Experience in a science, technology, engineering or mathematics (STEM) related field, such as:
Computational Social Science
Computer Science
Data Analytics
Economics
Engineering
Geospatial Analysis
Mathematics
Operations Research
Quantitative Finance
Statistics
Experience with real world data through thesis research, internships, or work experience
Creativity
Initiative
Integrity
Leadership abilities
Problem solving skills
Ability to work in a diverse team environment
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Advanced degree in a data science equivalent field or sub-field
Experience working with data rich problems through research or programs
Experience with computer programming or user experience/user interface
Ability to successfully complete projects with large or incomplete data and provide solutions
What You’ll Need to Apply
Resume
Unofficial transcripts for all degrees
Cover letter in which you specify your qualifications for this position. Please address why you want to work in this role and what differentiates you from other applicants.
A writing sample, five (5) pages MAXIMUM, single spaced, technical or analytic paper that focuses on your current area of expertise or interest and is related to your interest in positions at CIA. You can excerpt longer papers.",3.8,Central Intelligence Agency,"Washington, DC",-1,Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
"Junior Data Scientist, ML R&D",-1,"LockerDome is an ad platform with a brain, designed specifically for performance-based advertising. The brain behind the platform is Neo, an in-house AI, which uses machine learning to process billions of data points and make intelligent decisions at lightning speed. Learn more at lockerdome.com.
As a Junior Data Scientist on the ML R&D team, you will help design data models that enable decision making at scale.
Your skills should include:
Degree in a scientific or quantitative field, or proven proficiency in these areas
Strong understanding of statistics and how it can be used with the scientific method and Bayesian statistics
Strong technical ability in a data-focused programming language, such as R or Python",3.8,"LockerDome, Inc.",Remote,-1,51 to 200 Employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,Employer Provided Salary:$63 Per Hour,"We are seeking a Sr. Data Science Engineer who will work closely with our stakeholders to leverage organizational data, evaluate business insight needs and develop analytics and visualizations that invoke action.
These are Federal positions, requiring US Citizens or GC please email WORD resume to Jobs @ Mapjects.com
Responsibilities:
Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions
Mine large data sets using analytical techniques to generate insights and inform business decisions
Retrieve, analyze, and transform data into creative, aesthetically-pleasing visualizations in Tableau that provide insight in subject areas and invoke action",5.0,Mapjects.com,"Washington, DC",-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1
Data Scientist,Employer Provided Salary:$71 - $77 Per Hour,"The successful candidate will have 7+ years of experience with Machine Learning and Predictive Modeling and a passion for working with healthcare data.
Previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects are essential.
Principal Responsibilities and Tasks Develop and manages predictive (machine learning and deep learning) and prescriptive (mathematical optimization and simulation) analytic models in support of the organization's clinical, operations, and business initiatives and priorities.
Develop strategic, tactical and operational presentations that summarize the results of predictive and prescriptive analytics projects in support of robust strategies for the organization.
Leads cross-functional design teams in projects focused on quality and cost savings.",-1,Resource Wise Group,"Washington, DC",-1,Unknown,-1,Unknown,-1,-1,Less than $1 million (USD),-1
Data Scientist - Entry Level,-1,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications",-1,Numerdox,"Sacramento, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Data Scientist
Duration - 6+ months
Location: Remote

Responsibilities including:
Identify and propose new use cases
Break those use cases down into discrete MVPs (minimal viable product)
Work in code notebooks
Build & validate models
Deploy models via APIs into applications or workflows",4.3,Alpha Net Consulting,"Washington, DC",-1,1 to 50 Employees,1992,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1
Data Scientist,-1,"Job Summary
The Data Scientist uses a deep knowledge of the latest data science techniques support the development and implementation of research programs in their specialty across MedStar Health. This is accomplished by contributing to the advancement of health of our patients while impacting all aspects in our tripartite mission of education, research and clinical care. The Data Scientist manages informatics studies in their specialty, and collaborate with MedStar Health Research Institute (MHRI) investigators for research proposals, obtaining external financial support for research (sponsored research) to ensure long term sustainability, closely coordinating and aligning the research activities with the clinical activities within MedStar Health, and participating in activities aimed at increasing the awareness of data science throughout the system. Activities may cross multiple sites, as well as involve investigators at different locations and within different disciplines. This position has supervisory responsibilities.
Minimum Qualifications
Education/Training

MedStar Health is dedicated to providing the highest quality care for people in Maryland and the Washington, D.C., region, while advancing the practice of medicine through education, innovation and research. Our 30,000 associates and 5,400 affiliated physicians work in a variety of settings across our health system, including 10 hospitals and more than 300 community-based locations, the largest visiting nurse association in the region, and highly respected institutes dedicated to research and innovation. As the medical education and clinical partner of Georgetown University for more than 20 years, MedStar is dedicated not only to teaching the next generation of doctors, but also to the continuing education and professional development of our whole team. MedStar Health offers diverse opportunities for career advancement and personal fulfillment.",3.9,MEDSTAR HEALTH,"Washington, DC",-1,10000+ Employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Junior Research Data Scientist (Cybersecurity),Employer Provided Salary:$70K,"The Cyentia Institute is looking for an early career data scientist to join our team in producing engaging cybersecurity research!
Who are we?
The Cyentia Institute is an independent, objective, data-driven cybersecurity research firm that provides rigorous scientific research and analysis in the cyber security field. We write insightful, accessible reports that give our clients meaningful marketing content to build mindshare, drive sales, and attain greater visibility in competitive markets. Our research-as-a-service promotes business growth, and contributes to the knowledge base of the greater cybersecurity community. For examples of the work that we do and what you will contribute to, check out some of our publications at https://cyentia.com/research.
Who are you?
You are an early career data scientist with good communication and solid analytical skills. You are self-motivated, and are able to work with our team and clients distributed across multiple time zones. You have experience in data analysis (tools and techniques) and should have at least some exposure to the cyber security domain. We believe that a diversity of viewpoints makes our work better, and we welcome candidates from both traditional and non-traditional backgrounds.",-1,Cyentia Institute,Remote,-1,-1,-1,-1,-1,-1,-1,-1
