Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_Of_Ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist,-1,"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a , you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",3.5,GEICO,"Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$125K - $154K (Glassdoor est.),"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
Illustrate key trends and drivers through effective data interpretation and visualization.
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",4.3,TaylorMade Golf,"Carlsbad, CA",-1,1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Scientist,$51K - $110K (Glassdoor est.),"At ACON labs, we are making a difference in medical care by offering medical devices for diagnosing a variety of conditions. In addition, we are able to streamline and reduce costs for the physician and/or patient directly.
We are seeking a Scientist to join our team to design and conduct research and development studies. This person will also participate in decision making regarding research priorities for effective and efficient product development progression; analyze data and recommend further study direction.
The essential duties/responsibilities for this position are:
Develop projects from early development, product transfer, manufacturing and clinical studies phases;
Participates in decision making regarding research priorities of the department and provides information on feasibility of prospective projects;
Develops research plan, design experiments and outline research procedures to be followed;",2.5,ACON Laboratories,"San Diego, CA",-1,1001 to 5000 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
Spark/Big Data Engineer,-1,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
5+ years’ experience with Relational Database Systems and SQL",3.5,GEICO,"Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Scientist II,$63K - $136K (Glassdoor est.),"POSITION SUMMARY:
Provide guidance, leadership and direction to project progress for product development initiatives. This may include initiatives for the development of assays, reagents and/or instruments utilized in various disciplines within the clinical or life science research fields. Independently designing and executing experiments, analyzing and documenting resulting data and presenting findings in a clear and concise manner will be among the principle responsibilities this position is accountable for. This position will directly supervise the work of others in their group and/or across interdisciplinary teams.
DUTIES AND RESPONSIBILITIES:
Bench Research/Hands-on laboratory work
Experiment project planning and associated product documentation",3.2,"Meso Scale Diagnostics, LLC","Gaithersburg, MD",-1,201 to 500 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1
R&D Scientist,-1,"JOB SUMMARY
The R&D scientist will integrate into and become a contributing member of the R&D team, responsible for the development of new products and modification of existing powder and flakes. The role requires providing both technical support & service to customers, in concert with Metalor P&F Sales & Marketing. The R&D scientist will be interfacing with customers to define their needs, make standard product recommendations, & communicate their requirements to Engineering, Product Development and R&D. Regular follow-up is considered key with internal departments and then conveying progress/updates to the customer and Sales Manager.
REQUIREMENTS
· A minimum Bachelor of Science degree in Chemistry, Chemical Engineering, Metallurgical Engineering or other relevant field of study..",-1,Metalor Technologies USA,"Attleboro, MA",-1,-1,-1,-1,-1,-1,-1,-1
Principal Data Scientist,-1,"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a , you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,GEICO,"Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$64K - $106K (Glassdoor est.),"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.3,ManTech International Corporation,"Alexandria, VA",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Research Scientist,-1,"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.
We believe an employee's specific academic training is not as important as their innate ability and willingness to learn new areas of mathematics and work on difficult problems.
Desired Qualifications:",3.4,"Metron, Inc.","Reston, VA",-1,201 to 500 Employees,1982,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1
Senior Scientist,$51K - $111K (Glassdoor est.),"Position Summary:
The Senior Scientist is a multi-disciplinary molecular biology position that will provide leadership to the organization as part of the Integrated Solutions team, bringing curiosity, problem solving skills, and scientific acumen to LGC. The Integrated Solutions team supports various wings of the organization such as Research and Development, Sales, Marketing, Customer Service, and Manufacturing.
The scope of this position will include scientific leadership of new product development, research into previously unexplored areas, development of applications for existing products, and continued customer support. This may include developing new testing methodologies, troubleshooting data, converting potential customers to LGC products, and searching literature for emerging technologies in relevant fields. This position will require extensive knowledge from genomics, molecular biology, chemistry, PCR-based genetic analysis, and laboratory automation.",3.5,LGC Limited,"Alexandria, MN",-1,1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
