Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_Of_Ownership,Industry,Sector,Revenue,Competitors,Hourly,min_salary,max_salary,average_salary,job_state,age_of_company,python_jd,spark_jd,excel,aws
Data Scientist,80 - 186,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",-1.0,Dealsrevolution,Remote,-1,-1,-1,-1,-1,-1,-1,-1,0,80,186,133.0,-1,-1,0,0,0,0
Data Scientist,75 - 120,"Has it ever occurred to you that as the Internet shifts virtually every business model online, one key element of human behavior is lost - reading body language.
At ForMotiv, we solve this problem using a combination of AI, ML, and predictive behavioral analytics to analyze behavioral cues collected while users engage with web applications. Using this proprietary dataset we’re able to classify and predict end-user intent. ForMotiv is helping leading financial service companies to improve online experiences as well as reduce risk and fraud. ForMotiv is a real-time behavioral intelligence tool that helps companies fill in the missing link when it comes to their customer data - their digital body language.
Job Description
A rare opportunity to get in at the ground floor of a rapidly growing startup. We are looking for a Data Scientist to help make sense of the billions of data points ForMotiv collects on behalf of its clients. Your focus will be on doing statistical analysis and building prediction systems that are directly integrated with our product and clients. You will work directly with the management team to drive new customer revenue, expand offerings to existing clients, and play an integral role in building ForMotiv’s data science team.",-1.0,ForMotiv,Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,75,120,97.5,-1,-1,0,0,0,0
Data Scientist,38 - 43 ,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Job Type: Full-time
Salary: $40.00 - $45.00 per hour
Schedule:",4.1,Software Merchant Inc.,Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,1,38,43,40.5,-1,-1,0,0,0,0
Data Scientist,80 - 100,"Data Scientist
Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.
The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.2,"Continental Finance Company, LLC","Wilmington, DE",-1,51 to 200 Employees,2005,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,0,80,100,90.0, DE,15,0,0,0,0
Data Scientist,120 - 180,"Requires a minimum US Top Security Clearance with polygraph.
AUGR LLC is seeking a data scientist to support the Office of Director of National Intelligence. The supported office is the DNI's principal advising office on matters pertaining to systems analyses, cost analyses and program evaluation and is responsible for framing major resource decisions and managing the process by which the DNI determines the National Intelligence Program (NIP). As part of these efforts, ODNI conducts studies and analyses in support of IC programmatic and resourcing decisions. To support successful execution for these efforts, ODNI requires statistical data and analytic support to advise and assist on-going efforts.
The qualified candidate will be responsible for collecting and analyzing large sets of structured and unstructured data from disparate sources. Additional responsibilities include: developing or integrating analytic capabilities and tools, advising on analytic approaches and gaps in capabilities, cleaning and validating data to ensure accuracy, completeness, and uniformity, analyzing data to identify patterns and trends, devising and applying models and algorithms to mine the stores of big data, interpreting data to discover solutions and opportunities. The successful candidate will have strong client engagement skills.",-1.0,AUGR LLC,"Bethesda, MD",-1,-1,-1,-1,-1,-1,-1,-1,0,120,180,150.0, MD,-1,0,0,0,0
Data Scientist,250 - 450,"Our Mission
We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution. We're out to change behavior and promote mindful living.

Job Requirements
You must have all the skills and experiences associated with one of the options below. These options change over time and reflect the current needs of the team.",4.7,Blue Owl,"San Francisco, CA",-1,51 to 200 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,0,250,450,350.0, CA,4,0,0,0,0
Data Scientist,113 - 225,"Summary
Need a Data Scientist who has hands on experience building and enhancing media mix models to connect the impact of marketing drivers and business short-term and long-term outcomes. Should have prior experience with MMM, measurement, A/B testing, marketing strategy &analytics. Proficient coding skills (Python/SQL) and database knowledge
Roles & Responsibilities
Build and enhance media mix models to connectthe impact of marketing drivers and business short-term and long-term outcomes
Develop optimization and simulation algorithmsto guide the marketing investment and allocation recommendations tostakeholders",5.0,"Practical Solutions, Inc.","San Mateo, CA",-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1,0,113,225,169.0, CA,-1,1,0,0,0
Data Scientist,70 - 173,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.

Full time
Starting salary: $70,150 - $172,500*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible

About the Job

As a Data Scientist for CIA, you will organize and interpret data to inform U.S. decision-makers, drive successful operations, and shape CIA technology and resource investments. Through CIA’s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. You will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the Intelligence Community.

Who You’ll Work With

At the Central Intelligence Agency (CIA), we recognize our Nation’s strength comes from the diversity of its people. People from a broad range of backgrounds and viewpoints work at CIA, and our diverse teams are the reason we can keep our country safe.

Read more about diversity and inclusion

What You’ll Get

Our benefits support every aspect of a working professional’s life, including health and wellness, time off, family, finances, and continuing education. Our programs include highly sought-after government health benefits, flexible schedules, sick leave, and childcare. In some cases, we also offer sign-on incentives and cover moving expenses if you relocate.

As a CIA employee, you’ll also get the satisfaction of knowing your work is part of something bigger than yourself. Our work is driven by one mission: to keep our Nation safe. Every day is an opportunity to enhance U.S. national security.

Learn more about working at CIA

Minimum Qualifications
Bachelor’s degree preferably in a quantitative science, engineering, or social sciences field.
At least a 3.0 GPA on a 4-point scale
Experience in a science, technology, engineering or mathematics (STEM) related field, such as:
Computational Social Science
Computer Science
Data Analytics
Economics
Engineering
Geospatial Analysis
Mathematics
Operations Research
Quantitative Finance
Statistics
Experience with real world data through thesis research, internships, or work experience
Creativity
Initiative
Integrity
Leadership abilities
Problem solving skills
Ability to work in a diverse team environment
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Advanced degree in a data science equivalent field or sub-field
Experience working with data rich problems through research or programs
Experience with computer programming or user experience/user interface
Ability to successfully complete projects with large or incomplete data and provide solutions
What You’ll Need to Apply
Resume
Unofficial transcripts for all degrees
Cover letter in which you specify your qualifications for this position. Please address why you want to work in this role and what differentiates you from other applicants.
A writing sample, five (5) pages MAXIMUM, single spaced, technical or analytic paper that focuses on your current area of expertise or interest and is related to your interest in positions at CIA. You can excerpt longer papers.",3.8,Central Intelligence Agency,"Washington, DC",-1,Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,70,173,121.5, DC,73,0,0,0,0
Data Scientist,63 ,"We are seeking a Sr. Data Science Engineer who will work closely with our stakeholders to leverage organizational data, evaluate business insight needs and develop analytics and visualizations that invoke action.
These are Federal positions, requiring US Citizens or GC please email WORD resume to Jobs @ Mapjects.com
Responsibilities:
Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions
Mine large data sets using analytical techniques to generate insights and inform business decisions
Retrieve, analyze, and transform data into creative, aesthetically-pleasing visualizations in Tableau that provide insight in subject areas and invoke action",5.0,Mapjects.com,"Washington, DC",-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1,1,63,0,31.5, DC,-1,0,0,0,0
Data Scientist,71 - 77 ,"The successful candidate will have 7+ years of experience with Machine Learning and Predictive Modeling and a passion for working with healthcare data.
Previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects are essential.
Principal Responsibilities and Tasks Develop and manages predictive (machine learning and deep learning) and prescriptive (mathematical optimization and simulation) analytic models in support of the organization's clinical, operations, and business initiatives and priorities.
Develop strategic, tactical and operational presentations that summarize the results of predictive and prescriptive analytics projects in support of robust strategies for the organization.
Leads cross-functional design teams in projects focused on quality and cost savings.",-1.0,Resource Wise Group,"Washington, DC",-1,Unknown,-1,Unknown,-1,-1,Less than $1 million (USD),-1,1,71,77,74.0, DC,-1,0,0,0,0
